,average_speed,max_speed,average_heartrate,max_heartrate,distance,elapsed_time,moving_time,total_elevation_gain,elev_high,type,start_date_local,start_latitude,start_longitude,kudos_count
0,2.913,3.8,167.3,182.0,6616.3,0:37:51,0:37:51,12.0,136.8,Run,2020-08-18T13:12:55,32.973388,-96.971195,1
1,3.186,4.1,170.4,189.0,7174.7,0:38:47,0:37:32,20.0,134.2,Run,2020-08-17T19:44:41,32.973239,-96.971268,3
2,3.109,4.3,161.9,178.0,4992.5,0:27:58,0:26:46,12.0,134.2,Run,2020-08-16T18:37:12,32.973267,-96.971167,1
3,2.85,3.9,166.4,185.0,6614.9,0:38:41,0:38:41,9.0,135.4,Run,2020-08-15T17:51:30,32.973303,-96.971139,4
4,3.148,3.9,165.7,187.0,5001.8,0:26:29,0:26:29,18.0,138.2,Run,2020-08-14T19:43:19,32.880451,-96.969123,5
5,2.776,3.5,172.7,194.0,6580.3,0:39:30,0:39:30,15.0,137.8,Run,2020-08-13T13:17:50,32.973172,-96.971052,3
6,3.127,3.9,176.2,197.0,5182.0,0:27:37,0:27:37,6.0,135.6,Run,2020-08-12T19:36:11,32.973369,-96.971237,3
7,3.128,4.3,168.7,188.0,6738.2,0:35:54,0:35:54,11.0,142.8,Run,2020-08-11T17:59:53,32.973326,-96.971007,5
8,3.406,4.9,174.0,191.0,3259.6,0:15:57,0:15:57,2.0,217.6,Run,2020-08-10T20:50:38,32.97332,-96.971115,4
9,3.131,3.8,180.1,197.0,5181.8,0:27:35,0:27:35,11.0,221.0,Run,2020-08-09T14:11:13,32.973989,-96.972327,4
10,2.845,3.5,164.5,184.0,6514.6,0:38:10,0:38:10,13.0,217.6,Run,2020-08-08T17:37:33,32.9733,-96.971126,3
11,2.923,3.9,172.1,186.0,6605.8,0:37:40,0:37:40,10.0,221.0,Run,2020-08-07T18:04:40,32.973312,-96.971148,2
12,3.064,3.9,177.9,199.0,5157.3,0:28:03,0:28:03,11.0,219.6,Run,2020-08-06T12:52:44,32.973291,-96.971181,3
13,2.82,4.0,,,6613.5,0:39:05,0:39:05,12.5,149.4,Run,2020-08-05T11:35:11,32.973235,-96.971179,5
14,2.849,5.4,,,6714.4,0:39:17,0:39:17,12.8,149.6,Run,2020-08-04T14:06:59,32.973286,-96.971192,3
15,2.946,4.0,,,5314.7,0:30:04,0:30:04,9.4,146.0,Run,2020-08-03T14:01:14,32.973305,-96.971173,1
16,3.18,5.0,,,7036.6,0:36:56,0:36:53,13.3,134.5,Run,2020-08-02T17:31:32,32.914304,-96.939478,5
17,3.023,4.1,,,6723.2,0:37:04,0:37:04,12.8,149.6,Run,2020-08-01T13:32:13,32.973302,-96.971173,3
18,3.124,4.3,,,5308.3,0:28:19,0:28:19,9.4,146.0,Run,2020-07-31T14:07:32,32.973339,-96.971283,2
19,3.005,5.2,,,6715.6,0:37:15,0:37:15,12.8,149.6,Run,2020-07-30T14:04:10,32.973279,-96.97114,3
20,3.253,4.6,,,6707.3,0:34:22,0:34:22,12.7,149.6,Run,2020-07-29T14:07:55,32.973319,-96.971181,4
21,2.977,4.8,,,5316.7,0:29:46,0:29:46,9.4,146.0,Run,2020-07-28T16:15:13,32.973206,-96.971088,4
22,2.824,4.0,,,6696.1,0:39:31,0:39:31,12.8,149.6,Run,2020-07-27T14:17:07,32.973358,-96.971153,5
23,3.179,4.4,,,5661.5,0:29:41,0:29:41,33.4,152.3,Run,2020-07-26T17:55:05,32.973362,-96.971143,3
24,3.067,4.6,,,6725.1,0:36:33,0:36:33,12.7,149.6,Run,2020-07-25T13:05:52,32.973319,-96.971165,6
25,2.911,4.9,,,6901.9,0:39:31,0:39:31,13.7,149.6,Run,2020-07-24T13:33:27,32.973267,-96.971163,5
26,2.815,4.9,,,6722.5,0:39:52,0:39:48,12.8,149.6,Run,2020-07-23T13:31:12,32.973274,-96.971131,2
27,2.693,4.2,,,5297.8,0:32:47,0:32:47,9.4,146.0,Run,2020-07-22T13:29:38,32.973285,-96.971208,3
28,2.889,4.3,,,7196.5,0:41:31,0:41:31,39.5,152.3,Run,2020-07-21T17:26:27,32.973297,-96.971142,5
29,2.977,4.8,,,5289.9,0:29:37,0:29:37,36.1,152.3,Run,2020-07-20T18:24:14,32.973371,-96.971179,3
30,3.2,4.5,,,7148.6,0:37:14,0:37:14,30.9,152.3,Run,2020-07-19T18:57:58,32.973291,-96.971205,6
31,3.123,6.7,,,5352.7,0:28:37,0:28:34,9.4,146.0,Run,2020-07-18T13:11:24,32.973313,-96.971194,4
32,2.82,6.9,,,6832.1,0:40:23,0:40:23,17.2,149.5,Run,2020-07-17T13:02:21,32.97325,-96.971144,4
33,3.122,4.5,,,5331.8,0:28:28,0:28:28,9.4,146.0,Run,2020-07-16T12:21:21,32.973332,-96.971152,5
34,3.054,4.3,,,6764.5,0:36:55,0:36:55,13.3,149.6,Run,2020-07-15T16:25:17,32.973321,-96.971145,6
35,3.177,4.5,,,5239.0,0:27:29,0:27:29,31.1,152.3,Run,2020-07-14T17:23:42,32.973337,-96.971138,4
36,2.823,4.2,,,6706.6,0:39:36,0:39:36,12.7,149.5,Run,2020-07-13T13:12:51,32.973296,-96.971186,6
37,2.863,3.9,,,3681.6,0:21:26,0:21:26,15.5,152.3,Run,2020-07-12T15:14:19,32.973264,-96.971161,6
38,3.298,5.2,,,4149.1,0:20:58,0:20:58,15.4,152.3,Run,2020-07-11T18:18:39,32.973235,-96.971108,2
39,2.823,3.7,,,5295.9,0:31:16,0:31:16,9.4,146.0,Run,2020-07-10T12:47:59,32.973271,-96.971167,4
40,3.708,5.1,,,1750.3,0:07:52,0:07:52,12.9,149.6,Run,2020-07-09T16:46:52,32.973303,-96.971146,5
41,3.202,5.0,,,3682.3,0:19:10,0:19:10,15.5,152.3,Run,2020-07-08T12:54:20,32.973384,-96.971144,4
42,3.118,4.8,,,5310.0,0:28:23,0:28:23,9.4,146.0,Run,2020-07-07T10:18:34,32.973248,-96.971186,6
43,3.008,4.4,,,3679.0,0:20:23,0:20:23,15.4,152.3,Run,2020-07-06T10:26:27,32.9733,-96.971235,4
44,2.744,4.5,,,10170.3,1:01:49,1:01:46,21.5,149.6,Run,2020-07-05T13:12:38,32.973095,-96.971177,6
45,3.106,4.4,,,5299.0,0:28:26,0:28:26,9.4,146.0,Run,2020-07-04T12:19:59,32.973268,-96.971205,4
46,2.998,4.2,,,5530.8,0:30:48,0:30:45,9.4,146.9,Run,2020-07-03T12:51:38,32.973366,-96.971172,3
47,2.919,7.4,,,6753.6,0:38:34,0:38:34,12.8,149.6,Run,2020-07-02T12:44:53,32.973499,-96.971307,4
48,2.978,5.7,,,5309.2,0:29:43,0:29:43,9.4,146.0,Run,2020-07-01T12:07:56,32.973304,-96.971181,5
49,3.118,4.9,,,6722.5,0:35:56,0:35:56,12.9,149.6,Run,2020-06-30T12:42:12,32.973321,-96.97119,5
50,3.09,4.9,,,5510.0,0:29:43,0:29:43,9.9,146.9,Run,2020-06-29T13:10:28,32.973372,-96.971207,4
51,3.173,4.7,,,6710.0,0:35:15,0:35:15,12.7,149.6,Run,2020-06-28T12:39:20,32.973287,-96.971196,4
52,2.721,4.4,,,5154.3,0:31:37,0:31:34,9.5,146.0,Run,2020-06-27T12:59:53,32.973271,-96.971168,3
53,3.127,4.7,,,6739.3,0:35:55,0:35:55,12.8,149.6,Run,2020-06-26T12:24:29,32.973288,-96.971169,4
54,3.12,4.3,,,5295.1,0:28:17,0:28:17,27.9,152.3,Run,2020-06-25T12:23:40,32.973284,-96.971193,4
55,3.014,4.3,,,6758.4,0:37:22,0:37:22,12.8,149.6,Run,2020-06-24T12:15:29,32.973312,-96.971207,4
56,3.653,5.7,,,5337.0,0:24:21,0:24:21,8.6,146.0,Run,2020-06-23T16:23:25,32.973236,-96.971201,5
57,3.625,7.3,,,5561.1,0:25:34,0:25:34,9.9,146.9,Run,2020-06-22T18:39:50,32.973307,-96.971161,5
58,3.246,8.0,,,5233.1,0:26:52,0:26:52,17.8,149.6,Run,2020-06-21T18:08:15,32.973478,-96.971304,5
59,2.985,4.8,,,8861.6,0:49:30,0:49:29,24.2,155.2,Run,2020-06-20T18:37:17,32.97344,-96.971272,4
